2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
258,PSE,Mercedita,Ponce,PR,203.23,277.23,"2,413",,,,,,,,,,,
259,VLD,Valdosta Regional,Valdosta,GA,461.78,629.93,"2,294",,,,,,,,,,,
260,LAW,Lawton-Fort Sill Regional,Lawton/Fort Sill,OK,465.35,634.79,"2,244",,,,,,,,,,,
261,ALW,Walla Walla Regional,Walla Walla,WA,347.65,474.23,"2,204",,,,,,,,,,,
262,HVN,Tweed New Haven,New Haven,CT,363.21,495.46,"2,188",,,,,,,,,,,
263,TWF,Joslin Field - Magic Valley Regional,Twin Falls,ID,180.04,245.59,"2,184",,,,,,,,,,,
264,SPS,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,399.02,544.32,"2,126",,,,,,,,,,,
265,CKB,North Central West Virginia,Clarksburg/Fairmont,WV,419.78,572.63,"2,065",,,,,,,,,,,
266,DHN,Dothan Regional,Dothan,AL,769.35,1049.49,"1,974",,,,,,,,,,,
267,GTR,Golden Triangle Regional,Columbus,MS,458.38,625.29,"1,955",,,,,,,,,,,
268,PGV,Pitt Greenville,Greenville,NC,332.56,453.65,"1,953",,,,,,,,,,,
269,LWS,Lewiston Nez Perce County,Lewiston,ID,378.45,516.25,"1,877",,,,,,,,,,,
